Raw,Processed,Label
"My husband and I stayed at the Sofitel Chicago Water Tower for three nights last month. We were celebrating our anniversary, so we decided to splurge on the Prestige Suite. According to the website, we were to be given either a city or park view, neither of which we had. Instead, our room was overlooking a dirty field with some sparse trees. The woman who checked us into our room was rude and impatient, and the man who helped with our bags was the same. When we got to the room, the beds were unkempt and the floors were in serious need of a vacuuming. The bathroom was dirty and there was dried toothpaste in the sink. My husband requested that we be given another room, preferably a clean one, but the clerk told us that there were no other rooms available. If given the chance, I would not stay at this hotel again, even if I were offered a free night.
",my husband and i stayed at the sofitel chicago water tower for three nights last month we were celebrating our anniversary so we decided to splurge on the prestige suite according to the website we were to be given either a city or park view neither of which we had instead our room was overlooking a dirty field with some sparse trees the woman who checked us into our room was rude and impatient and the man who helped with our bags was the same when we got to the room the beds were unkempt and the floors were in serious need of a vacuuming the bathroom was dirty and there was dried toothpaste in the sink my husband requested that we be given another room preferably a clean one but the clerk told us that there were no other rooms available if given the chance i would not stay at this hotel again even if i were offered a free night,0
"Staying at the Sofitel was one of the less pleasurable experiences I have had in Chicago. Upon entering, there was no one offered to take my luggage so I was forced to carry it up to the check in desk. The front desk staff was not friendly or welcoming. The room was smaller than I expected and smelled of fake suede. I decided to have drink and some food in Le Bar and upon entering, I immediately noticed how dimly lit the room was. I could barely see the bartenders face. The drinks were alright and the food was sub-par compared to what I was expecting. After an hour, I was ready for bed so I returned to my room to lay down. The mattress was surprising stiff. The noise was higher than expected as well. Thankfully, it was only a one night stay.
",staying at the sofitel was one of the less pleasurable experiences i have had in chicago upon entering there was no one offered to take my luggage so i was forced to carry it up to the check in desk the front desk staff was not friendly or welcoming the room was smaller than i expected and smelled of fake suede i decided to have drink and some food in le bar and upon entering i immediately noticed how dimly lit the room was i could barely see the bartenders face the drinks were alright and the food was subpar compared to what i was expecting after an hour i was ready for bed so i returned to my room to lay down the mattress was surprising stiff the noise was higher than expected as well thankfully it was only a one night stay,0
"I stayed at Sofitel with my husband for a weekend and I will NEVER be staying again! The staff was rude, the room was dirty, and the decor is ugly and garish. AVOID at all costs!
",i stayed at sofitel with my husband for a weekend and i will never be staying again the staff was rude the room was dirty and the decor is ugly and garish avoid at all costs,0
"I stayed at the Sofitel Chicago Water Tower hotel a couple of weeks ago while in Chicago for 3 nights. I must say, I was NOT impressed. This is an example of a hotel that tries too hard with little result except for inflating your bill. To start with, the hotel lobby was totally gaudy. It had sculptures and artwork that seemed meaningless and I guess was supposed to give an air of style. The room was ok I suppose, but certainly not worth the premium price I paid for it. The hotel food was presented like it was some kind of amazing French cuisine, but the food, while arranged nicely, tasted unremarkable and again, was overpriced. My final verdict is avoid this hotel if at all possible. It is simply not worth it.
",i stayed at the sofitel chicago water tower hotel a couple of weeks ago while in chicago for  nights i must say i was not impressed this is an example of a hotel that tries too hard with little result except for inflating your bill to start with the hotel lobby was totally gaudy it had sculptures and artwork that seemed meaningless and i guess was supposed to give an air of style the room was ok i suppose but certainly not worth the premium price i paid for it the hotel food was presented like it was some kind of amazing french cuisine but the food while arranged nicely tasted unremarkable and again was overpriced my final verdict is avoid this hotel if at all possible it is simply not worth it,0
"After arriving at the Sofitel Chicago Water Tower hotel I was greeted with rudeness and snubery. My room reservations had been double booked, and instead of the suite I expected, I was given a much smaller guest room. Instead of having a concierge I had cockroaches. The dining left me wishing for fast food. The bar left a bad taste in my mouth with the cheap liquor and hot beer.
",after arriving at the sofitel chicago water tower hotel i was greeted with rudeness and snubery my room reservations had been double booked and instead of the suite i expected i was given a much smaller guest room instead of having a concierge i had cockroaches the dining left me wishing for fast food the bar left a bad taste in my mouth with the cheap liquor and hot beer,0
"The Hotel Sofitel Chicago Water Tower bills itself as a 4-star luxury hotel, but the luxury is evidently in the eye of the beholder. Filled with trite modern art and modular, cheap-looking furniture that looks straight out of the latest Ikea catalogue, this 32-floor hunk of glass has to be one of the ugliest hotels I have ever seen. ""Urban chic"" design does not equal comfort; the seating and bed furniture are made more for the design floor than for actual use. Room service is expensive, slow, and the food you eventually do get is mediocre in quality and flavor. The hotel features two bars: the Cafe des Architectes Bar, and the simply named Le Bar. Cutesy French names and trendy modern outfittings do not a good hotel bar make! Excellent service, fair prices, friendly and competent staff are what make a bar great, none of which you will find at either of these bars. Cafe des Architectes is also a restaurant, offering ""seasonal menus featuring contemporary cuisine with French roots,"" which means small portions and large prices at questionable quality. Even the old standby filet mignon did not stand up to its reputation, coming out a little dry hunk of meat rather than a succulent steak. Pass this one by, if you're looking for a comfortable, enjoyable stay in downtown Chicago. The Water Tower is dry.
",the hotel sofitel chicago water tower bills itself as a star luxury hotel but the luxury is evidently in the eye of the beholder filled with trite modern art and modular cheaplooking furniture that looks straight out of the latest ikea catalogue this floor hunk of glass has to be one of the ugliest hotels i have ever seen urban chic design does not equal comfort the seating and bed furniture are made more for the design floor than for actual use room service is expensive slow and the food you eventually do get is mediocre in quality and flavor the hotel features two bars the cafe des architectes bar and the simply named le bar cutesy french names and trendy modern outfittings do not a good hotel bar make excellent service fair prices friendly and competent staff are what make a bar great none of which you will find at either of these bars cafe des architectes is also a restaurant offering seasonal menus featuring contemporary cuisine with french roots which means small portions and large prices at questionable quality even the old standby filet mignon did not stand up to its reputation coming out a little dry hunk of meat rather than a succulent steak pass this one by if youre looking for a comfortable enjoyable stay in downtown chicago the water tower is dry,0
"While traveling in Chicago I stayed at the Sofitel on Chestnut Street. Though the hotel was a beautiful and comfortable as the advertisements suggest; service was severely lacking. I arrived late at night and had one peaceful dreamy nights sleep before being woke up at dawn. I reserved a room on one of the lower floors unaware of the construction happening in the area. I complained that I had not been informed of the construction and requested another room. My complaint was totally disregarded. I was told there were no other rooms in the whole hotel available. When I explained that the noise was bothersome I was treated rudely. The woman at the front desk actually ask me if I thought she could make the workers stop. I understand that the staff has no control over the noise. They did however know about the construction. Information I did not have at the time I booked. Information that would have swayed my decision. Then to treat me so rudely for bringing it to their attention. I will not be staying there again.
",while traveling in chicago i stayed at the sofitel on chestnut street though the hotel was a beautiful and comfortable as the advertisements suggest service was severely lacking i arrived late at night and had one peaceful dreamy nights sleep before being woke up at dawn i reserved a room on one of the lower floors unaware of the construction happening in the area i complained that i had not been informed of the construction and requested another room my complaint was totally disregarded i was told there were no other rooms in the whole hotel available when i explained that the noise was bothersome i was treated rudely the woman at the front desk actually ask me if i thought she could make the workers stop i understand that the staff has no control over the noise they did however know about the construction information i did not have at the time i booked information that would have swayed my decision then to treat me so rudely for bringing it to their attention i will not be staying there again,0
"The Sofitel Chicago Water Tower, while seemingly a good idea in theory, has many drawbacks. At first glance, it appears quite luxurious and grand, but some of its shortcomings cannot be overlooked. The hotel is quite tall, coming in at 32 stories, and the noise from adjoining floors and rooms is sometimes quite annoying. The staff members do little to try to ameliorate the situation for the dissatisfied guest, so it seems as if your pleas for help go unnoticed. The hotel tries to adopt a French flavor, but its efforts fall short. The only real French influences are found in the names of restaurants and bars. The hotel is conveniently located in the heart of the city, but this location also adds to the less-than-cozy feel of the establishment. The same complaint about the guest rooms and noise applies to the hotel in general. The city's traffic and noise both detract from the ability to fully enjoy one's stay here. Overall, I would not recommend this hotel. Make a different choice.
",the sofitel chicago water tower while seemingly a good idea in theory has many drawbacks at first glance it appears quite luxurious and grand but some of its shortcomings cannot be overlooked the hotel is quite tall coming in at  stories and the noise from adjoining floors and rooms is sometimes quite annoying the staff members do little to try to ameliorate the situation for the dissatisfied guest so it seems as if your pleas for help go unnoticed the hotel tries to adopt a french flavor but its efforts fall short the only real french influences are found in the names of restaurants and bars the hotel is conveniently located in the heart of the city but this location also adds to the lessthancozy feel of the establishment the same complaint about the guest rooms and noise applies to the hotel in general the citys traffic and noise both detract from the ability to fully enjoy ones stay here overall i would not recommend this hotel make a different choice,0
"I arrived to find that my room was not ready, despite it being past the 3pm check in time. I was not offered any compensation for this, or any real apology, just shunted off to the side to wait it out. This took a good hour and a half, during which time I was needing to be reading for a meeting. Again, no apologies, just my card. The room was adequately clean (it had better be...) though sparsely furnished for the price. It did not feel very welcoming and the decoration was reminiscent of bad nights spent in hot, south coastal motels. I encountered several problems with on site amenities, both in room and out. Some staff tried to be helpful on occasion but were rarely able to make headway, even when I complained on the third night about rowdy neighbors. It seemed as if where there was not apathy or cluelessness there was barely concealed surliness. After the abysmal (lack of) service at the hotel bar I elected to eat out every other night (I declined to try the room service, unimpressed with every other offering so far). I would not use this hotel for my business or personal trips.
",i arrived to find that my room was not ready despite it being past the pm check in time i was not offered any compensation for this or any real apology just shunted off to the side to wait it out this took a good hour and a half during which time i was needing to be reading for a meeting again no apologies just my card the room was adequately clean it had better be though sparsely furnished for the price it did not feel very welcoming and the decoration was reminiscent of bad nights spent in hot south coastal motels i encountered several problems with on site amenities both in room and out some staff tried to be helpful on occasion but were rarely able to make headway even when i complained on the third night about rowdy neighbors it seemed as if where there was not apathy or cluelessness there was barely concealed surliness after the abysmal lack of service at the hotel bar i elected to eat out every other night i declined to try the room service unimpressed with every other offering so far i would not use this hotel for my business or personal trips,0
"Hotel is located 1/2 mile from the train station which is quite hike when you're traveling with luggage and/or kids. They seem to cash in on guests who arrive in private car by charging exorbitant parking/valet fees. Rooms feature either double or king sized beds; no queen beds at all. If you want a little extra leg room in your bed, the price jump from double- to king-sized is stiff. Rooms with any kind of view pay a healthy surcharge, too.
",hotel is located  mile from the train station which is quite hike when youre traveling with luggage andor kids they seem to cash in on guests who arrive in private car by charging exorbitant parkingvalet fees rooms feature either double or king sized beds no queen beds at all if you want a little extra leg room in your bed the price jump from double to kingsized is stiff rooms with any kind of view pay a healthy surcharge too,0
